@timestamp,@message
2026-03-02 14:25:59.555,"REPORT RequestId: 06c76b12-5e04-468c-8000-ceac6063842f	Duration: 15.93 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-80abcb8a-ff0ad7f2376ba3ecb19f4935	SegmentId: b19f49357e8425eb	Sampled: true	
"
2026-03-02 14:25:59.464,"REPORT RequestId: 7089e714-aa40-4ae8-ab98-7173b63eccaf	Duration: 14.13 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-4b686af9-f955dfe6c251976d00dbd2d0	SegmentId: 00dbd2d074847a16	Sampled: true	
"
2026-03-02 14:25:59.186,"REPORT RequestId: 4afc2296-8470-4da5-8b46-1ccd110cf5a5	Duration: 15.30 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-1f53ea72-85bf9ef9fbfcad708a2b58da	SegmentId: 8a2b58da501b9bde	Sampled: true	
"
2026-03-02 14:25:59.176,"REPORT RequestId: bba2c43d-8900-4866-ab9c-f338305093cc	Duration: 15.18 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-695bc9c8-72e1b2a47719cce63b4f90cd	SegmentId: 26cffe620e3c6412	Sampled: true	
"
2026-03-02 14:25:59.141,"REPORT RequestId: 04f8132f-feb2-47d8-82fc-9e761c9e5a03	Duration: 14.65 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-b6d2516f-148a613845f6f35d6c24eecb	SegmentId: 6c24eecbf913d3b1	Sampled: true	
"
2026-03-02 14:25:58.933,"REPORT RequestId: c1e1814d-743e-4799-b5d0-301e09af27b3	Duration: 69.22 ms	Billed Duration: 70 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-9d99dd90-022e6a14bfe41484c1beffc4	SegmentId: c1beffc484977d3e	Sampled: true	
"
2026-03-02 14:25:58.905,"REPORT RequestId: a9e88767-3282-4b3c-b563-aad0c3f0c564	Duration: 12.87 ms	Billed Duration: 13 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-904429ef-02ccc7f4a8cf98ce16cabb95	SegmentId: 16cabb950de66f79	Sampled: true	
"
2026-03-02 14:25:58.877,"REPORT RequestId: b036c99a-638b-4f67-bdd5-68a0654008f2	Duration: 14.03 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-0b0abb2d-6814d60ce22bffd68d419b90	SegmentId: 8d419b9048f63e72	Sampled: true	
"
2026-03-02 14:25:58.794,"REPORT RequestId: 59965bc6-e1db-4854-b81d-c2d9db938786	Duration: 16.41 ms	Billed Duration: 17 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-695bc9ca-7abb34c77097ca4b43b2ed42	SegmentId: dfc225c3affe48db	Sampled: true	
"
2026-03-02 14:25:58.730,"REPORT RequestId: 7dd918d9-dbf3-46fa-9d7c-080dbde8086c	Duration: 15.20 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-42a0f005-4fc77523fa823f0b4502bf49	SegmentId: 4502bf49fff36b4c	Sampled: true	
"
2026-03-02 14:25:58.730,"REPORT RequestId: ca40cb2a-adcf-44f5-b45a-22ace72a3d6e	Duration: 15.18 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-ebc3ea78-9eaf7a824626fd061a9aebe3	SegmentId: 1a9aebe3a34dfc5f	Sampled: true	
"
2026-03-02 14:25:58.705,"REPORT RequestId: 3fc2d733-35e1-42e2-88b7-655867d6dcdb	Duration: 17.14 ms	Billed Duration: 18 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-da260cb3-29d603e756a570e8ace202c9	SegmentId: ace202c971ecc9e3	Sampled: true	
"
2026-03-02 14:25:58.647,"REPORT RequestId: 903f0caa-882a-47b3-98de-922e1fdc793b	Duration: 15.75 ms	Billed Duration: 16 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-0fbd8618-a79a83d722d8e54ae19a0967	SegmentId: e19a096716579060	Sampled: true	
"
2026-03-02 14:25:58.646,"REPORT RequestId: 0d633847-dc65-4ddf-bb0d-57de50dc284c	Duration: 14.34 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-35994f9a-2f8ee909f9abfb28378784eb	SegmentId: 378784eb5b5f4734	Sampled: true	
"
2026-03-02 14:25:58.620,"REPORT RequestId: 6f349768-7639-4020-b42d-84c46c2f465b	Duration: 16.76 ms	Billed Duration: 17 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-da5d1f90-eac92a037001403633c40471	SegmentId: 33c40471ee2da808	Sampled: true	
"
2026-03-02 14:25:58.583,"REPORT RequestId: b18b5a43-e74b-4196-aebb-e1053d917350	Duration: 14.91 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-c7831602-c987b900db33d9f062ac9a0c	SegmentId: 62ac9a0ce47f3674	Sampled: true	
"
2026-03-02 14:25:58.582,"REPORT RequestId: 8979e2ae-2874-4605-aa9d-1881c4540ec9	Duration: 14.93 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-695bc9ca-6ed806d54bffc84e0578ee52	SegmentId: fe036d4a61f8e67f	Sampled: true	
"
2026-03-02 14:25:58.477,"REPORT RequestId: 8a5c39de-0251-4970-8970-df6ac7aa609a	Duration: 22.09 ms	Billed Duration: 23 ms	Memory Size: 1024 MB	Max Memory Used: 252 MB	
XRAY TraceId: 1-8cc2deee-8b043b694b6d73b2a4235993	SegmentId: a42359938db459d2	Sampled: true	
"
2026-03-02 14:25:58.439,"REPORT RequestId: 5c3b127e-775a-47fa-9a20-ec21bdef2a43	Duration: 14.77 ms	Billed Duration: 15 ms	Memory Size: 1024 MB	Max Memory Used: 250 MB	
XRAY TraceId: 1-c9f23803-2c94a0dedf9945d59d1aa4a9	SegmentId: 9d1aa4a98e7113f3	Sampled: true	
"
